id,created_at,username,message,user_id,unix_time_seconds,position
14955,2024-04-10 16:16:48.954297+00,DidiLovesNewJeans,"poner luego ",5514583872,1712765789,"[-0.220959539651762,-0.384002774956328,0.331507994837933]"
14956,2024-04-10 16:16:48.954297+00,DidiLovesNewJeans,"vuelvo ",5514583872,1712765796,"[-0.220959539651762,-0.384002774956328,0.331507994837933]"
14957,2024-04-10 16:16:48.954297+00,tomas_gonzalez431,ok,4864189036,1712765802,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14958,2024-04-10 16:16:48.954297+00,tomas_gonzalez431,okis,4864189036,1712765807,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14959,2024-04-10 16:17:08.28937+00,mcreamy7667,k,4044994786,1712765825,"[-0.223238982939806,-0.384144200241727,0.330223946012759]"
14960,2024-04-10 16:17:09.164758+00,dogman40050,400 more,5309268366,1712765825,"[-0.223592071371677,-0.383188549769515,0.330361474041755]"
14961,2024-04-10 16:17:53.731124+00,malindapant,"well amma go try to go grind ",1936579148,1712765871,"[-0.0651618911034818,-0.384127637693134,-0.068068911797556]"
14962,2024-04-10 16:18:05.571912+00,RedZeel01,para de fugir seu ruim,3503360444,1712765884,"[0.373864847127191,0.378761114499902,-0.0413136358615229]"
14963,2024-04-10 16:18:14.080472+00,mcreamy7667,k i will join you,4044994786,1712765889,"[-0.223238982939806,-0.384144200241727,0.330223946012759]"
14964,2024-04-10 16:18:24.694347+00,tomas_gonzalez431,wow,4864189036,1712765903,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14965,2024-04-10 16:18:25.780385+00,eyyiriudyf_2,"me atore en la pared ",5736453166,1712765887,"[0.425419723528999,0.423721396993477,-0.0633504706505314]"
14966,2024-04-10 16:18:45.078839+00,DidiLovesNewJeans,"volví ",5514583872,1712765905,"[-0.220343473898237,-0.384002774956328,0.331545440588402]"
14967,2024-04-10 16:18:45.078839+00,tomas_gonzalez431,que lindo te quedo,4864189036,1712765918,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14968,2024-04-10 16:18:46.153979+00,eyyiriudyf_2,"no puedo salir ",5736453166,1712765920,"[0.425468916839169,0.423721396993477,-0.0629423119704192]"
14969,2024-04-10 16:19:01.862971+00,GREAT_BACONROBLOX,ty,5659168566,1712765940,"[-0.223244040195992,-0.383935494966187,0.331505271510626]"
14970,2024-04-10 16:19:05.452746+00,DidiLovesNewJeans,"sip pero a te va quedar mejor ",5514583872,1712765940,"[-0.220791730696511,-0.384002774956328,0.33162237458482]"
14971,2024-04-10 16:19:25.836333+00,tomas_gonzalez431,gracias :),4864189036,1712765952,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14972,2024-04-10 16:19:25.836333+00,DidiLovesNewJeans,:D,5514583872,1712765960,"[-0.220717710855975,-0.384002774956328,0.331551908490756]"
14973,2024-04-10 16:19:46.203415+00,wisudhhsxddddd,hola,5764720468,1712765983,"[-0.223270705728607,-0.383148730999839,0.330404026030924]"
14974,2024-04-10 16:20:11.595719+00,cristiano_ronaldo7t4,fotos de holas grandes,5749913978,1712766006,"[-0.224037569666577,-0.383973940674839,0.328006476753167]"
14975,2024-04-10 16:20:31.863686+00,tomas_gonzalez431,ñara matarme tenes que hacer esto,4864189036,1712766015,"[-0.219771084448133,-0.384554745487692,0.331833092035187]"
14976,2024-04-10 16:20:31.863686+00,DidiLovesNewJeans,no,5514583872,1712766022,"[-0.221333316858938,-0.384002774956328,0.331698627749412]"
14977,2024-04-10 16:20:39.876812+00,Uzoth_zioles00,cen i plsssss kill youef you are kind,5751889378,1712766038,"[-0.0677520539356372,-0.38162793719207,-0.0537376943902521]"
14978,2024-04-10 16:20:52.111993+00,DidiLovesNewJeans,"vamos tu puedes ",5514583872,1712766033,"[-0.221333316858938,-0.384002774956328,0.331698627749412]"
14979,2024-04-10 16:21:42.406946+00,tomas_gonzalez431,voy 1.6k,4864189036,1712766099,"[-0.219803266987496,-0.384554745487692,0.331815730823606]"
14980,2024-04-10 16:21:57.781327+00,GREAT_BACONROBLOX,wth,5659168566,1712766116,"[-0.0719980299688404,-0.383583905527909,-0.0332605150007676]"
14981,2024-04-10 16:22:02.790929+00,DidiLovesNewJeans,"eso oooooooooooooooo ",5514583872,1712766107,"[-0.220042797030471,-0.384002774956328,0.331201280100001]"
14982,2024-04-10 16:22:38.211429+00,pepe36388,me falta  953 para terminar eso,5728153116,1712766153,"[-0.222868423986566,-0.383946479454373,0.331388168436432]"
